team,advance_probability
New Zealand,0.155
Belgium,0.135
Netherlands,0.13
England,0.125
Austria,0.125
Haiti,0.11
France,0.105
Norway,0.1
Mexico,0.09
Czech Republic,0.085
Brazil,0.085
Scotland,0.075
Spain,0.065
Argentina,0.065
Portugal,0.065
Switzerland,0.06
Sweden,0.045
Saudi Arabia,0.04
Uruguay,0.04
Turkey,0.035
Panama,0.03
Australia,0.025
Bosnia and Herzegovina,0.02
Uzbekistan,0.02
Japan,0.02
South Korea,0.02
Iraq,0.015
Qatar,0.015
Canada,0.015
Egypt,0.015
South Africa,0.01
Algeria,0.01
Iran,0.005
Paraguay,0.005
Senegal,0.005
DR Congo,0.005
Colombia,0.005
Tunisia,0.005
United States,0.005
Jordan,0.005
Croatia,0.005
Cape Verde,0.005
Cote d'Ivoire,0.0
1J,0.0
2E,0.0
2D,0.0
2C,0.0
2B,0.0
2A,0.0
1L,0.0
1K,0.0
1I,0.0
2G,0.0
1H,0.0
1G,0.0
To be announced,0.0
1F,0.0
1E,0.0
1D,0.0
1C,0.0
2F,0.0
2H,0.0
1B,0.0
Germany,0.0
Curaçao,0.0
3EHIJK,0.0
3EFGIJ,0.0
Ecuador,0.0
3DEIJL,0.0
3CEFHI,0.0
3CDFGH,0.0
Ghana,0.0
2I,0.0
3BEFIJ,0.0
3AEHIJ,0.0
3ABCDF,0.0
2L,0.0
2K,0.0
2J,0.0
Morocco,0.0
1A,0.0
